timestamp,protocol,run_id,round_id,position_in_round,seq,command_id,status,rtt_ms,esp_processing_us,esp_free_heap,esp_min_free_heap,esp_max_alloc_heap,rssi_dbm,qos,error,protocol_group,source_file,esp_processing_ms,host_network_protocol_remainder_ms
2026-09-04T10:25:43.255393,HTTP,1,1,1,42,http-main-1-42,success,19.893,393,220376,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.393,19.5
2026-09-04T10:25:43.475433,HTTP,1,1,1,43,http-main-1-43,success,17.094,407,220376,211508,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.407,16.687
2026-09-04T10:25:43.692668,HTTP,1,1,1,44,http-main-1-44,success,28.181,396,220376,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.396,27.785
2026-09-04T10:25:43.920992,HTTP,1,1,1,45,http-main-1-45,success,17.512,390,220356,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.39,17.122
2026-09-04T10:25:44.138660,HTTP,1,1,1,46,http-main-1-46,success,25.726,393,220384,211508,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.393,25.333
2026-09-04T10:25:44.364536,HTTP,1,1,1,47,http-main-1-47,success,22.246,392,220388,211508,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.392,21.854
2026-09-04T10:25:44.586929,HTTP,1,1,1,48,http-main-1-48,success,16.939,393,220348,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.393,16.546
2026-09-04T10:25:44.804016,HTTP,1,1,1,49,http-main-1-49,success,24.158,393,220380,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.393,23.765
2026-09-04T10:25:45.028334,HTTP,1,1,1,50,http-main-1-50,success,17.315,389,220388,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,16.926000000000002
2026-09-04T10:25:45.245800,HTTP,1,1,1,51,http-main-1-51,success,17.8,389,220360,211508,110580,-45,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,17.411
2026-09-04T10:25:45.463744,HTTP,1,1,1,52,http-main-1-52,success,22.242,557,220136,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.557,21.685000000000002
2026-09-04T10:25:45.686129,HTTP,1,1,1,53,http-main-1-53,success,25.292,388,220372,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.388,24.904
2026-09-04T10:25:45.911571,HTTP,1,1,1,54,http-main-1-54,success,19.868,388,220396,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.388,19.479999999999997
2026-09-04T10:25:46.131597,HTTP,1,1,1,55,http-main-1-55,success,21.227,438,220156,211508,110580,-51,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.438,20.789
2026-09-04T10:25:46.352974,HTTP,1,1,1,56,http-main-1-56,success,23.75,391,220388,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.391,23.359
2026-09-04T10:25:46.576868,HTTP,1,1,1,57,http-main-1-57,success,17.375,395,220364,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.395,16.98
2026-09-04T10:25:46.794386,HTTP,1,1,1,58,http-main-1-58,success,20.635,436,220348,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.436,20.199
2026-09-04T10:25:47.015174,HTTP,1,1,1,59,http-main-1-59,success,27.24,384,220352,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,26.855999999999998
2026-09-04T10:25:47.242560,HTTP,1,1,1,60,http-main-1-60,success,21.432,393,220360,211508,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.393,21.038999999999998
2026-09-04T10:25:47.464161,HTTP,1,1,1,61,http-main-1-61,success,17.561,645,218456,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.645,16.916
2026-09-04T10:25:47.681866,HTTP,1,1,1,62,http-main-1-62,success,17.702,394,220384,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.394,17.308000000000003
2026-09-04T10:25:47.899714,HTTP,1,1,1,63,http-main-1-63,success,22.835,392,220344,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.392,22.443
2026-09-04T10:25:48.122701,HTTP,1,1,1,64,http-main-1-64,success,17.264,398,220380,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.398,16.866
2026-09-04T10:25:48.340122,HTTP,1,1,1,65,http-main-1-65,success,22.891,392,220356,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.392,22.499
2026-09-04T10:25:48.563158,HTTP,1,1,1,66,http-main-1-66,success,23.023,388,220376,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.388,22.634999999999998
2026-09-04T10:25:48.786324,HTTP,1,1,1,67,http-main-1-67,success,24.649,387,220384,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.387,24.262
2026-09-04T10:25:49.011126,HTTP,1,1,1,68,http-main-1-68,success,19.474,393,220368,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.393,19.081
2026-09-04T10:25:49.230733,HTTP,1,1,1,69,http-main-1-69,success,13.1,404,220376,211356,110580,-39,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.404,12.696
2026-09-04T10:25:49.443978,HTTP,1,1,1,70,http-main-1-70,success,17.871,400,220384,211356,110580,-43,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.4,17.471
2026-09-04T10:25:49.661989,HTTP,1,1,1,71,http-main-1-71,success,19.672,389,220388,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,19.283
2026-09-04T10:25:49.881805,HTTP,1,1,1,72,http-main-1-72,success,36.438,398,220376,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.398,36.04
2026-09-04T10:25:50.118398,HTTP,1,1,1,73,http-main-1-73,success,18.643,395,220348,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.395,18.248
2026-09-04T10:25:50.337190,HTTP,1,1,1,74,http-main-1-74,success,20.1,394,220384,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.394,19.706000000000003
2026-09-04T10:25:50.557430,HTTP,1,1,1,75,http-main-1-75,success,17.596,416,220360,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.416,17.18
2026-09-04T10:25:50.775166,HTTP,1,1,1,76,http-main-1-76,success,19.517,401,220380,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.401,19.116
2026-09-04T10:25:50.994846,HTTP,1,1,1,77,http-main-1-77,success,17.717,405,220368,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.405,17.311999999999998
2026-09-04T10:25:51.212714,HTTP,1,1,1,78,http-main-1-78,success,38.169,390,220384,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.39,37.778999999999996
2026-09-04T10:25:51.451031,HTTP,1,1,1,79,http-main-1-79,success,18.836,408,220356,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.408,18.427999999999997
2026-09-04T10:25:51.670017,HTTP,1,1,1,80,http-main-1-80,success,23.19,409,220376,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.409,22.781000000000002
2026-09-04T10:25:51.893382,HTTP,1,1,1,81,http-main-1-81,success,17.128,394,220388,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.394,16.734
2026-09-04T10:25:52.110674,HTTP,1,1,1,82,http-main-1-82,success,16.949,389,220356,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,16.560000000000002
2026-09-04T10:25:52.327774,HTTP,1,1,1,83,http-main-1-83,success,17.907,402,220396,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.402,17.505
2026-09-04T10:25:52.545829,HTTP,1,1,1,84,http-main-1-84,success,22.722,390,220372,211356,110580,-39,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.39,22.332
2026-09-04T10:25:52.768696,HTTP,1,1,1,85,http-main-1-85,success,14.062,389,220372,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,13.673
2026-09-04T10:25:52.982907,HTTP,1,1,1,86,http-main-1-86,success,20.676,427,220164,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.427,20.249
2026-09-04T10:25:53.203737,HTTP,1,1,1,87,http-main-1-87,success,19.636,398,220380,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.398,19.238
2026-09-04T10:25:53.423519,HTTP,1,1,1,88,http-main-1-88,success,21.393,638,220308,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.638,20.755
2026-09-04T10:25:53.645053,HTTP,1,1,1,89,http-main-1-89,success,17.52,394,220372,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.394,17.126
2026-09-04T10:25:53.862717,HTTP,1,1,1,90,http-main-1-90,success,19.823,388,220356,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.388,19.435
2026-09-04T10:25:54.082699,HTTP,1,1,1,91,http-main-1-91,success,21.308,395,220384,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.395,20.913
2026-09-04T10:25:54.304159,HTTP,1,1,1,92,http-main-1-92,success,18.055,664,219956,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.664,17.391
2026-09-04T10:25:54.522354,HTTP,1,1,1,93,http-main-1-93,success,18.249,468,220060,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.468,17.781
2026-09-04T10:25:54.740745,HTTP,1,1,1,94,http-main-1-94,success,16.449,388,220368,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.388,16.061
2026-09-04T10:25:54.957334,HTTP,1,1,1,95,http-main-1-95,success,17.826,451,220092,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.451,17.375
2026-09-04T10:25:55.175309,HTTP,1,1,1,96,http-main-1-96,success,22.582,392,220384,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.392,22.19
2026-09-04T10:25:55.398037,HTTP,1,1,1,97,http-main-1-97,success,17.971,402,220348,211356,110580,-39,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.402,17.569
2026-09-04T10:25:55.616152,HTTP,1,1,1,98,http-main-1-98,success,19.472,389,220380,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,19.083000000000002
2026-09-04T10:25:55.835766,HTTP,1,1,1,99,http-main-1-99,success,18.535,432,219820,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.432,18.103
2026-09-04T10:25:56.054477,HTTP,1,1,1,100,http-main-1-100,success,19.225,382,220300,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.382,18.843
2026-09-04T10:25:56.273885,HTTP,1,1,1,101,http-main-1-101,success,17.049,690,220100,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.69,16.358999999999998
2026-09-04T10:25:56.491082,HTTP,1,1,1,102,http-main-1-102,success,19.55,382,220304,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.382,19.168
2026-09-04T10:25:56.710775,HTTP,1,1,1,103,http-main-1-103,success,26.153,385,220308,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.385,25.767999999999997
2026-09-04T10:25:56.937078,HTTP,1,1,1,104,http-main-1-104,success,16.391,382,220284,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.382,16.008999999999997
2026-09-04T10:25:57.153633,HTTP,1,1,1,105,http-main-1-105,success,31.061,385,220320,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.385,30.676
2026-09-04T10:25:57.384840,HTTP,1,1,1,106,http-main-1-106,success,16.573,380,220288,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.38,16.193
2026-09-04T10:25:57.601555,HTTP,1,1,1,107,http-main-1-107,success,16.849,401,220280,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.401,16.448
2026-09-04T10:25:57.818547,HTTP,1,1,1,108,http-main-1-108,success,16.529,486,220068,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.486,16.043
2026-09-04T10:25:58.035233,HTTP,1,1,1,109,http-main-1-109,success,21.086,434,220296,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.434,20.651999999999997
2026-09-04T10:25:58.256470,HTTP,1,1,1,110,http-main-1-110,success,22.871,384,220312,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,22.487
2026-09-04T10:25:58.479486,HTTP,1,1,1,111,http-main-1-111,success,33.281,388,220100,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.388,32.893
2026-09-04T10:25:58.712907,HTTP,1,1,1,112,http-main-1-112,success,18.873,383,220308,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.383,18.490000000000002
2026-09-04T10:25:58.931922,HTTP,1,1,1,113,http-main-1-113,success,15.964,512,220104,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.512,15.452
2026-09-04T10:25:59.148039,HTTP,1,1,1,114,http-main-1-114,success,17.744,381,220300,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.381,17.363
2026-09-04T10:25:59.365919,HTTP,1,1,1,115,http-main-1-115,success,20.154,385,220304,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.385,19.769
2026-09-04T10:25:59.586209,HTTP,1,1,1,116,http-main-1-116,success,22.09,398,220320,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.398,21.692
2026-09-04T10:25:59.808440,HTTP,1,1,1,117,http-main-1-117,success,28.878,384,220316,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,28.494
2026-09-04T10:26:00.037476,HTTP,1,1,1,118,http-main-1-118,success,15.272,380,220316,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.38,14.892
2026-09-04T10:26:00.252901,HTTP,1,1,1,119,http-main-1-119,success,19.788,384,220120,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,19.404
2026-09-04T10:26:00.472831,HTTP,1,1,1,120,http-main-1-120,success,30.972,383,220320,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.383,30.589000000000002
2026-09-04T10:26:00.703972,HTTP,1,1,1,121,http-main-1-121,success,18.68,386,220296,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.386,18.294
2026-09-04T10:26:00.922815,HTTP,1,1,1,122,http-main-1-122,success,18.607,475,220300,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.475,18.131999999999998
2026-09-04T10:26:01.141590,HTTP,1,1,1,123,http-main-1-123,success,17.084,386,220316,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.386,16.698
2026-09-04T10:26:01.358833,HTTP,1,1,1,124,http-main-1-124,success,24.618,384,220316,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,24.233999999999998
2026-09-04T10:26:01.583589,HTTP,1,1,1,125,http-main-1-125,success,18.746,394,220304,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.394,18.352
2026-09-04T10:26:01.802477,HTTP,1,1,1,126,http-main-1-126,success,21.205,384,220292,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,20.820999999999998
2026-09-04T10:26:02.023843,HTTP,1,1,1,127,http-main-1-127,success,15.891,381,220288,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.381,15.51
2026-09-04T10:26:02.239875,HTTP,1,1,1,128,http-main-1-128,success,24.629,401,220064,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.401,24.228
2026-09-04T10:26:02.464637,HTTP,1,1,1,129,http-main-1-129,success,31.331,386,220292,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.386,30.945
2026-09-04T10:26:02.696103,HTTP,1,1,1,130,http-main-1-130,success,23.825,383,220300,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.383,23.442
2026-09-04T10:26:02.920066,HTTP,1,1,1,131,http-main-1-131,success,19.108,389,220280,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,18.719
2026-09-04T10:26:03.139327,HTTP,1,1,1,132,http-main-1-132,success,15.168,395,220308,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.395,14.773
2026-09-04T10:26:03.354634,HTTP,1,1,1,133,http-main-1-133,success,18.895,384,220288,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,18.511
2026-09-04T10:26:03.573664,HTTP,1,1,1,134,http-main-1-134,success,18.05,388,220292,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.388,17.662
2026-09-04T10:26:03.791855,HTTP,1,1,1,135,http-main-1-135,success,18.658,392,217876,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.392,18.266000000000002
2026-09-04T10:26:04.010669,HTTP,1,1,1,136,http-main-1-136,success,21.47,397,220284,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.397,21.073
2026-09-04T10:26:04.232288,HTTP,1,1,1,137,http-main-1-137,success,17.902,496,219696,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.496,17.406000000000002
2026-09-04T10:26:04.450329,HTTP,1,1,1,138,http-main-1-138,success,17.529,408,217668,211356,110580,-39,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.408,17.121
2026-09-04T10:26:04.667998,HTTP,1,1,1,139,http-main-1-139,success,17.718,384,220320,211356,110580,-39,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,17.334
2026-09-04T10:26:04.885861,HTTP,1,1,1,140,http-main-1-140,success,20.338,383,220284,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.383,19.955000000000002
2026-09-04T10:26:05.106383,HTTP,1,1,1,141,http-main-1-141,success,22.363,381,220304,211356,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.381,21.982
2026-09-04T10:26:05.328888,HTTP,1,1,1,142,http-main-1-142,success,32.3,593,220120,211356,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.593,31.706999999999997
2026-09-04T10:26:05.561322,HTTP,1,1,1,143,http-main-1-143,success,20.88,384,220328,211356,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.384,20.496
